Variable Name,RIGHT VALUE,Node Address
powerStatus,0,ns=3;s=[PLC]power_on
entry1,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].4
orderStatus,0,ns=3;s=Order_Status
scanDone,0,ns=3;s=[PLC]Scan_done
inventory1,0,ns=3;s=[PLC]Inventory_fivetwo
stoppingCylinder1up,0,ns=3;s=::[PLC]aentr:1:I.0
conveyor1Status,0,ns=3;s=::[PLC]vfd:SI.RunMode
intDigitalOutput,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].3
opDigitalOutput,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].2
palletClampingCylinder1Forward,0,ns=3;s=::[PLC]aentr:1:I.7
rFIDPosition,0,ns=3;s=[PLC]readdata[1]
gripper1Open,0,ns=3;s=::[PLC]Gripper_open
motorCylinder1Back,0,ns=3;s=::[PLC]aentr:1:I.5
faceOne,0,ns=3;s=[PLC]Face1_matched
faceTwo,0,ns=3;s=[PLC]Face2_matched
faceThree,0,ns=3;s=[PLC]Face3_matched
faceFour,0,ns=3;s=[PLC]Face4_matched
numAccepted,0,ns=3;s=[PLC]accepted_bodies.ACC
stoppingCylinder1down,0,ns=3;s=::[PLC]aentr:1:I.2
palletClampingCylinder1Back,0,ns=3;s=::[PLC]aentr:2:I.3
motorCylinder1Forward,0,ns=3;s=::[PLC]Motor_Forward
exit1,0,ns=3;s=[PLC]Exit_Sensor_on
smps1,0,ns=2;s=smps1
smps2,0,ns=2;s=smps2
smps3,0,ns=2;s=smps3
plc_power,0,ns=2;s=plc_power
vfd_ConnectionStatus,0,ns=2;s=vfd_ConnectionStatus
vfd_RunMode,0,ns=2;s=vfd_RunMode
vfd_ConnectionFaulted,0,ns=2;s=vfd_ConnectionFaulted
vfd_Status,0,ns=2;s=vfd_Status
vfd_TorqueDisabled,0,ns=2;s=vfd_TorqueDisabled
vfd_SafetyFault,0,ns=2;s=vfd_SafetyFault
vfd_ResetRequired,0,ns=2;s=vfd_ResetRequired
vfd_Command,0,ns=2;s=vfd_Command
vfd_SafeTorqueOff,0,ns=2;s=vfd_SafeTorqueOff
vfd_Reset,0,ns=2;s=vfd_Reset
vfd_Power,0,ns=2;s=vfd_Power
conveyorAxis,0,ns=2;s=conveyorAxis
ent_DataModeIO,0,ns=2;s=ent_IO_Communication
ent_IO_DataValidity,0,ns=2;s=ent_IO_DataValidity
ent_diag1_IO1,0,ns=2;s=ent_diag1_IO1
ent_diag1_IO2,0,ns=2;s=ent_diag1_IO2
ent_diag1_IO3,0,ns=2;s=ent_diag1_IO3
ent_diag1_IO4,0,ns=2;s=ent_diag1_IO4
ent_diag1_IO5,0,ns=2;s=ent_diag1_IO5
ent_diag1_IO6,0,ns=2;s=ent_diag1_IO6
ent_diag1_IO7,0,ns=2;s=ent_diag1_IO7
ent_diag2_IO1,0,ns=2;s=ent_diag2_IO1
ent_diag2_IO2,0,ns=2;s=ent_diag2_IO2
ent_diag2_IO3,0,ns=2;s=ent_diag2_IO3
ent_PowerSupply,0,ns=2;s=ent_PowerSupply
ent_DigitalOutput,0,ns=2;s=ent_DigitalOutput
ent_IO_DeviceError,0,ns=2;s=ent_IO_DeviceError
ent_IO_DeviceWarning,0,ns=2;s=ent_IO_DeviceWarning
ent_IO_DeviceNotification,0,ns=2;s=ent_IO_DeviceNotification
int_IO_Communication,0,ns=2;s=int_IO_Communication
int_IO_DataValidity,0,ns=2;s=int_IO_DataValidity
int_diag1_IO1,0,ns=2;s=int_diag1_IO1
int_diag1_IO2,0,ns=2;s=int_diag1_IO2
int_diag1_IO3,0,ns=2;s=int_diag1_IO3
int_diag1_IO4,0,ns=2;s=int_diag1_IO4
int_diag1_IO5,0,ns=2;s=int_diag1_IO5
int_diag1_IO6,0,ns=2;s=int_diag1_IO6
int_diag1_IO7,0,ns=2;s=int_diag1_IO7
int_diag2_IO1,0,ns=2;s=int_diag2_IO1
int_diag2_IO2,0,ns=2;s=int_diag2_IO2
int_diag2_IO3,0,ns=2;s=int_diag2_IO3
int_PowerSupply,0,ns=2;s=int_PowerSupply
int_DigitalOutput,0,ns=2;s=int_DigitalOutput
int_IO_DeviceError,0,ns=2;s=int_IO_DeviceError
int_IO_DeviceWarning,0,ns=2;s=int_IO_DeviceWarning
int_IO_DeviceNotification,0,ns=2;s=int_IO_DeviceNotification
redLight,0,ns=2;s=redLight
yellowLight,0,ns=2;s=yellowLight
greenLight,0,ns=2;s=greenLight
buzzer,0,ns=2;s=buzzer
auto,0,ns=2;s=auto
manual,0,ns=2;s=manual
executeOrder,0,ns=2;s=executeOrder
