Variable Name,RIGHT VALUE,Node Address,
POWERSTATUS,0,ns=3;s=[PLC]power_on,
ENTRY1,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].4,
ORDERSTATUS,0,ns=3;s=Order_Status,
SCANDONE,0,ns=3;s=[PLC]Scan_done,
INVENTORY1,0,ns=3;s=[PLC]Inventory_fivetwo,
STOPPINGCYLINDER1UP,0,ns=3;s=::[PLC]aentr:1:I.0,
CONVEYOR1STATUS,0,ns=3;s=::[PLC]vfd:SI.RunMode,
INTDIGITALOUTPUT,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].3,
OPDIGITALOUTPUT,0,ns=3;s=::[PLC]iolinkblock1:I1.Data[0].2,
PALLETCLAMPINGCYLINDER1FORWARD,0,ns=3;s=::[PLC]aentr:1:I.7,
RFIDPOSITION,0,ns=3;s=[PLC]readdata[1],
GRIPPER1OPEN,0,ns=3;s=::[PLC]Gripper_open,
MOTORCYLINDER1BACK,0,ns=3;s=::[PLC]aentr:1:I.5,
FACEONE,0,ns=3;s=[PLC]Face1_matched,
FACETWO,0,ns=3;s=[PLC]Face2_matched,
FACETHREE,0,ns=3;s=[PLC]Face3_matched,
FACEFOUR,0,ns=3;s=[PLC]Face4_matched,
NUMACCEPTED,0,ns=3;s=[PLC]accepted_bodies.ACC,
STOPPINGCYLINDER1DOWN,0,ns=3;s=::[PLC]aentr:1:I.2,
PALLETCLAMPINGCYLINDER1BACK,0,ns=3;s=::[PLC]aentr:2:I.3,
MOTORCYLINDER1FORWARD,0,ns=3;s=::[PLC]Motor_Forward,
EXIT1,0,ns=3;s=[PLC]Exit_Sensor_on,
